Name,ID,Country,Website,Groups,Aggregated subsidiaries,Region,Stage,Sector,Description,Description source,Description link,Description date,Publications: AI publications,Publications: Recent AI publication growth,Publications: AI publication percentage,Publications: AI publications in top conferences,Publications: Citations to AI research,Publications: CV publications,Publications: NLP publications,Publications: Robotics publications,Publications: Total publications,Patents: AI patents,Patents: AI patents: recent growth,Patents: AI patent percentage,Patents: Granted AI patents,Patents: Total patents,Patents: AI use cases: Agriculture,Patents: AI use cases: Banking and finance,Patents: AI use cases: Business,Patents: AI use cases: Computing in government,Patents: AI use cases: Document management and publishing,Patents: AI use cases: Education,Patents: AI use cases: Energy,Patents: AI use cases: Entertainment,Patents: AI use cases: Industry and manufacturing,Patents: AI use cases: Life sciences,Patents: AI use cases: Military,Patents: AI use cases: Nanotechnology,Patents: AI use cases: Networking,Patents: AI use cases: Personal devices and computing,Patents: AI use cases: Physical sciences and engineering,Patents: AI use cases: Security,Patents: AI use cases: Semiconductors,Patents: AI use cases: Telecommunications,Patents: AI use cases: Transportation,Patents: AI applications and techniques: Analytics and algorithms,Patents: AI applications and techniques: Computer vision,Patents: AI applications and techniques: Control,Patents: AI applications and techniques: Distributed AI,Patents: AI applications and techniques: Knowledge representation,Patents: AI applications and techniques: Language processing,Patents: AI applications and techniques: Measuring and testing,Patents: AI applications and techniques: Planning and scheduling,Patents: AI applications and techniques: Robotics,Patents: AI applications and techniques: Speech processing,Workforce: AI workers,Workforce: Tech Team 1 workers,City,State/province,PARAT link
4Thparadigm,3,China,https://www.4paradigm.com/,,,Asia,Mature,Unknown,4Paradigm is an AI tech firm that helps enterprises improve work efficiency while reducing risk and achieving greater commercial value.,crunchbase,https://www.crunchbase.com/organization/4paradigm,2024-05-16,76,128.84615384615384,75.2,33,4450,10,6,0,101,305,69.40873689600345,60.0,122,508,1,16,44,2,0,0,1,1,7,4,0,0,2,180,0,12,0,9,4,10,12,1,1,11,4,0,29,0,3,24,62,Beijing,Beijing ,https://parat.eto.tech/company/3-4thparadigm
Invitation Homes,6966,United States,https://www.invitationhomes.com/,S&P 500,,North America,Mature,Unknown,"Invitation Homes Inc. is a public company traded on the New York Stock Exchange. It is headquartered in the Comerica Bank Tower in Dallas, Texas. Dallas B. Tanner is chief executive officer. As of 2017, the company was reportedly the largest owner of single-family rental homes in the United States. As of December 2022, the company owned about 83,000 rental homes in 16 markets.",wikipedia,https://en.wikipedia.org/wiki/Invitation_Homes,2024-06-04,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,62,Dallas,Texas,https://parat.eto.tech/company/6966-invitation-homes
Bio-Techne,6941,United States,https://www.bio-techne.com/,S&P 500,,North America,Mature,Unknown,"Bio-Techne Corporation develops, manufactures and sells life science reagents, instruments and services for the research, diagnostic, and bioprocessing markets.",wikipedia,https://en.wikipedia.org/wiki/Bio-Techne,2024-06-04,0,,0.0,0,0,0,0,0,37,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,62,Minneapolis,Minnesota,https://parat.eto.tech/company/6941-bio-techne
Broadridge Financial Solutions,2237,United States,https://www.broadridge.com/,S&P 500,,North America,Mature,Industrial & Commercial Services,"Broadridge is a provider of investor communications and technology solutions for broker dealers, banks, mutual funds and corporate issuers.",crunchbase,https://www.crunchbase.com/organization/broadridge,2024-05-16,7,-100.0,46.7,1,160,0,2,0,15,1,,16.7,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,62,Lake Success,New York,https://parat.eto.tech/company/2237-broadridge-financial-solutions
Stability AI,6902,United Kingdom,https://stability.ai/,GenAI Contenders,,Europe,Unknown,Unknown,"Stability AI is the world’s leading open source generative AI company. We deliver breakthrough, open-access AI models with minimal resource requirements in imaging, language, code and audio.",company,https://stability.ai/about,2024-05-20,2,,66.7,1,9,0,1,0,3,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,60,london,,https://parat.eto.tech/company/6902-stability-ai
MORSE,6927,United States,https://www.morsecorp.com/,,,North America,Unknown,Unknown,"MORSE is a specially selected team of scientists, engineers, and software developers who use asymmetric and unconventional approaches to deploy practical solutions that solve difficult multi-disciplinary problems faced by the US National Security Ecosystem.",company,https://www.morsecorp.com/about.html,2024-05-20,0,,0.0,0,0,0,0,0,5,1,-100.0,50.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,60,cambridge,massachusetts,https://parat.eto.tech/company/6927-morse
Monster Beverage,2419,United States,http://monsterbevcorp.com/,S&P 500,,North America,Mature,Food & Beverages,Monster Beverage Corporation is a holding company.,crunchbase,https://www.crunchbase.com/organization/monster-beverage-corporation,2024-05-16,0,,0.0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,59,Corona,California,https://parat.eto.tech/company/2419-monster-beverage
Mitsubishi,786,Japan,http://www.mitsubishicorp.com/,,,Asia,Mature,Industrial & Commercial Services,Mitsubishi Corporation is Japan's largest trading company and a member of the Mitsubishi keiretsu.,crunchbase,https://www.crunchbase.com/organization/mitsubishi-corporation,2024-05-16,971,11.157262277951935,10.2,82,29884,258,75,295,9475,1037,28.963307407330177,1.1,527,93194,1,11,53,0,0,5,100,1,121,29,0,2,2,265,63,27,5,111,112,66,152,310,1,30,3,137,45,0,62,1,59,Tokyo,Kantō,https://parat.eto.tech/company/786-mitsubishi
Edison International,2300,United States,https://www.edison.com/,S&P 500,,North America,Mature,Utilities,Edison International is a generator and distributor of electric power and an investor in infrastructure and energy assets.,crunchbase,https://www.crunchbase.com/organization/edison-international,2024-05-16,6,0.0,2.2,0,34,0,0,0,278,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,58,Rosemead,California,https://parat.eto.tech/company/2300-edison-international
Avalonbay Communities,2226,United States,https://www.avaloncommunities.com/,S&P 500,,North America,Mature,Real Estate,AvalonBay Communities is a real estate investment company,crunchbase,https://www.crunchbase.com/organization/avalonbay,2024-05-16,1,-100.0,50.0,0,8,0,0,0,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,57,Arlington,Virginia,https://parat.eto.tech/company/2226-avalonbay-communities
Amphenol,2214,United States,https://www.amphenol.com/,S&P 500,,North America,Mature,Technology Equipment,"Amphenol is a supplier of connectors, sensors, and interconnect systems.",crunchbase,https://www.crunchbase.com/organization/amphenol-corporation,2024-05-16,0,,0.0,0,0,0,0,0,57,0,,0.0,0,2638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,57,Wallingford,Connecticut,https://parat.eto.tech/company/2214-amphenol
Rebellion Defense,6929,United States,https://rebelliondefense.com/,,,North America,Unknown,Unknown,,,,,0,,0.0,0,0,0,0,0,1,1,,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,6,56,washington,district of columbia,https://parat.eto.tech/company/6929-rebellion-defense
Idex Corporation,2362,United States,http://www.idexcorp.com/,S&P 500,,North America,Mature,Industrial Goods,"IDEX is a publicly-traded company providing development, design, and manufacturing of fluidics systems and specialty engineered products.",crunchbase,https://www.crunchbase.com/organization/idex-corp,2024-05-16,2,-100.0,3.4,0,29,1,0,0,59,1,-100.0,0.4,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,56,Lake Forest,Illinois,https://parat.eto.tech/company/2362-idex-corporation
Church & Dwight,2257,United States,https://churchdwight.com/,S&P 500,,North America,Mature,Personal & Household Products & Services,"Church & Dwight Co., Inc. develops, manufactures and markets a range of household, personal care and specialty products.",crunchbase,https://www.crunchbase.com/organization/church-dwight-co-inc,2024-05-16,0,,0.0,0,0,0,0,0,66,1,,0.4,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,15,55,Ewing Township,New Jersey,https://parat.eto.tech/company/2257-church-dwight
Bitmain Technologies,43,China,https://www.bitmain.com/,,,Asia,Growth,Technology Equipment,Bitmain is a design and manufacture of high performance computing chips and software.,crunchbase,https://www.crunchbase.com/organization/bitmain,2024-05-16,2,-50.0,40.0,0,5,0,0,0,5,20,-38.888888888888886,3.8,9,529,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,54,Beijing,Beijing ,https://parat.eto.tech/company/43-bitmain-technologies
Synthesia,6908,United Kingdom,https://www.synthesia.io,GenAI Contenders,,Europe,Unknown,Unknown,"Synthesia is a synthetic media generation company that develops software used to create AI generated video content. It is based in London, England.",wikipedia,https://en.wikipedia.org/wiki/Synthesia_(company),2024-05-20,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,51,london,,https://parat.eto.tech/company/6908-synthesia
Public Storage,2465,United States,https://www.publicstorage.com/,S&P 500,,North America,Mature,Real Estate,Public Storage is an ideal choice for both commercial and household self-storage needs.,crunchbase,https://www.crunchbase.com/organization/public-storage,2024-05-16,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,50,Glendale,California,https://parat.eto.tech/company/2465-public-storage
Brown & Brown,6943,United States,https://www.bbinsurance.com/,S&P 500,,North America,Mature,Unknown,"Brown & Brown, Inc. (Brown & Brown Insurance) is an insurance brokerage firm, specialising in risk management. Headquartered in Daytona Beach, Florida, Brown & Brown has 450+ locations worldwide.",wikipedia,https://en.wikipedia.org/wiki/Brown_%26_Brown,2024-06-04,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,49,Daytona Beach,Florida,https://parat.eto.tech/company/6943-brown-brown
Tamr,243,United States,http://www.tamr.com/,,,North America,Growth,Software & IT Services,Tamr offers an enterprise-grade data unification platform that allows organizations to consolidate and streamline their data operations.,crunchbase,https://www.crunchbase.com/organization/tamr,2024-05-16,0,,0.0,0,0,0,0,0,6,5,-100.0,35.7,5,14,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,47,Cambridge,Massachusetts,https://parat.eto.tech/company/243-tamr
Equity Residential,2307,United States,http://www.equityapartments.com/,S&P 500,,North America,Mature,Real Estate,Equity Residential (EQR) is a real estate investment trust (REIT).,crunchbase,https://www.crunchbase.com/organization/equity-residential,2024-05-16,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,46,Chicago,Illinois,https://parat.eto.tech/company/2307-equity-residential
Coterra,3101,United States,https://coterra.com/,S&P 500,,North America,Mature,Energy - Fossil Fuels,Coterra Energy is an energy company positioned to deliver sustainable returns.,crunchbase,https://www.crunchbase.com/organization/coterra-energy,2024-05-16,0,,0.0,0,0,0,0,0,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,41,Houston,Texas,https://parat.eto.tech/company/3101-coterra
Masco,2408,United States,https://masco.com/,S&P 500,,North America,Mature,Cyclical Consumer Products,Masco Corporation manufacturers of brand name products for the home improvement.,crunchbase,https://www.crunchbase.com/organization/masco-corporation,2024-05-16,0,,0.0,0,0,0,0,0,20,0,,0.0,0,2095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,41,Livonia,Michigan,https://parat.eto.tech/company/2408-masco
Universal Health Services,2522,United States,https://uhs.com/,S&P 500,,North America,Mature,Healthcare Services & Equipment,"Universal Health Services, Inc. (UHS) is one of the nation's largest and most respected healthcare management companies.",crunchbase,https://www.crunchbase.com/organization/universal-health-services,2024-05-16,0,,0.0,0,0,0,0,0,22,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,40,King Of Prussia,Pennsylvania,https://parat.eto.tech/company/2522-universal-health-services
EQT,6955,United States,https://www.eqt.com/,S&P 500,,North America,Mature,Unknown,"EQT Corporation is an American energy company engaged in hydrocarbon exploration and pipeline transport. It is headquartered in EQT Plaza in Pittsburgh, Pennsylvania.",wikipedia,https://en.wikipedia.org/wiki/EQT_Corporation,2024-06-04,0,,0.0,0,0,0,0,0,7,1,,50.0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,10,38,Pittsburgh,Pennsylvania,https://parat.eto.tech/company/6955-eqt
AEVEX Aerospace,6923,United States,https://www.aevex.com/,,,North America,Unknown,Unknown,"Aevex Aerospace is an American defense industry firm specializing in airborne intelligence gathering solutions, headquartered in Solana Beach, California. The company designs aircraft, integrates sensors and payloads and provides flight test support services. According to CNN reporter Barbara Starr, Aevex ""does work for US special operations, specifically for covert special operations units.""",wikipedia,https://en.wikipedia.org/wiki/Aevex_Aerospace,2024-05-20,0,,0.0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,37,arlington,virginia,https://parat.eto.tech/company/6923-aevex-aerospace
UDR,2515,United States,https://www.udr.com/,S&P 500,,North America,Mature,Real Estate,"UDR is a leading multifamily real estate investment trust that manages, buys, sells, develops and redevelops apartment communities.",crunchbase,https://www.crunchbase.com/organization/udr,2024-05-16,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,Highlands Ranch,Colorado,https://parat.eto.tech/company/2515-udr
Essex Property Trust,2308,United States,http://www.essexpropertytrust.com/,S&P 500,,North America,Mature,Real Estate,"Essex Property Trust, Inc., is a fully integrated real estate investment trust (REIT) that acquires, develops, redevelops, and manages",crunchbase,https://www.crunchbase.com/organization/essex-property-trust,2024-05-16,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,32,San Mateo,California,https://parat.eto.tech/company/2308-essex-property-trust
Shift5,6931,United States,https://shift5.io/,,,North America,Unknown,Unknown,"Shift5 was created by founding members of the U.S. Army Cyber Command who pioneered modern weapon systems cyber assessments. Led by proven change makers, Shift5 brings onboard data to light, helping defense, aviation, and rail build and maintain intelligent fleets.",company,https://shift5.io/about-us/,2024-05-20,0,,0.0,0,0,0,0,0,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32,arlington,virginia,https://parat.eto.tech/company/6931-shift5
Royce Geo,6930,United States,https://www.roycegeo.com/,,,North America,Unknown,Unknown,"We are a mission-driven company and strive to make an impact on the defense and intelligence missions that ensure our nation’s vitality and security. Each team member is empowered with the expertise and ability to rise to our customer needs, overcome complex problems, and find durable solutions.",company,https://www.roycegeo.com/company/,2024-05-20,0,,0,0,0,0,0,0,0,2,,100.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,30,arlington,virginia,https://parat.eto.tech/company/6930-royce-geo
Mid-America Apartments,2416,United States,http://www.maac.com/,S&P 500,,North America,Mature,Real Estate,"MAA is a real estate investment trust that focuses on the acquisition, development, and management of multifamily homes.",crunchbase,https://www.crunchbase.com/organization/mid-america-apartment-communities,2024-05-16,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,Memphis,Tennessee,https://parat.eto.tech/company/2416-mid-america-apartments
Welltower,2538,United States,http://www.welltower.com/ ,S&P 500,,North America,Mature,Real Estate,"Welltower™ is a recognized leader in providing consistent, low-cost capital to fund health care infrastructure and real estate.",crunchbase,https://www.crunchbase.com/organization/welltower-inc,2024-05-16,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,28,Toledo,Ohio,https://parat.eto.tech/company/2538-welltower
Loews,2400,United States,https://loews.com/,S&P 500,,North America,Mature,Insurance,Loews Corporation is a diversified company.,crunchbase,https://www.crunchbase.com/organization/loews-corp,2024-05-16,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,New York,New York,https://parat.eto.tech/company/2400-loews
Affectiva,8,United States,https://www.affectiva.com/,,,North America,Mature,Software & IT Services,Affectiva is a developer of an emotion-recognition software designed to analyze subtle facial and vocal expressions.,crunchbase,https://www.crunchbase.com/organization/affectiva,2024-05-16,24,41.666666666666664,61.5,4,744,21,0,0,39,11,-80.0,73.3,6,15,0,0,1,0,0,1,0,0,0,3,0,0,0,7,0,0,0,0,1,3,3,0,0,0,0,0,0,0,1,13,27,Boston,Massachusetts,https://parat.eto.tech/company/8-affectiva
Camden Property Trust,6946,United States,https://www.camdenliving.com/,S&P 500,,North America,Mature,Unknown,"Camden Property Trust is a publicly-traded real estate investment trust that invests in apartments in the United States. As of November 30, 2021, the company owned interests in 171 apartment communities containing 58,588 apartment homes in the United States.",wikipedia,https://en.wikipedia.org/wiki/Camden_Property_Trust,2024-06-04,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,27,Houston,Texas,https://parat.eto.tech/company/6946-camden-property-trust
Vista Equity Partners,3159,United States,https://www.vistaequitypartners.com/,,,North America,Unknown,Banking & Investment Services,"Vista Equity Partners is one of the largest American private equity firms focused on financing software, data, and technology-enabled businesses. Vista has invested in hundreds of companies, including Citrix, Ping Identity, and Marketo.",wikipedia,https://en.wikipedia.org/wiki/Vista_Equity_Partners,2023-11-05,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,27,Austin,Texas,https://parat.eto.tech/company/3159-vista-equity-partners
Veralto,6984,United States,https://www.veralto.com/,S&P 500,,North America,Mature,Unknown,,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,Waltham,Massachusetts,https://parat.eto.tech/company/6984-veralto
Adept,6907,United States,https://adept.ai,GenAI Contenders,,North America,Unknown,Unknown,,,,,1,,100.0,1,15,0,0,0,1,3,,100.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,4,26,San Francisco,California,https://parat.eto.tech/company/6907-adept
Arch Capital Group,6938,United Kingdom,https://www.archgroup.com/,S&P 500,,Europe,Mature,Unknown,"Arch Capital Group Ltd. (Arch Capital or ACGL) is a Bermuda-based public limited company which writes insurance, reinsurance and mortgage insurance on a worldwide basis, with a focus on specialty lines, the segment of the insurance industry where the more difficult and unusual risks are written. It has operations in Bermuda, the United States, Canada, Europe, Australia and, in the case of mortgage insurance, Hong Kong.",wikipedia,"https://Arch Capital Group Ltd. (Arch Capital or ACGL) is a Bermuda-based public limited company which writes insurance, reinsurance and mortgage insurance on a worldwide basis, with a focus on specialty lines, the segment of the insurance industry where the more difficult and unusual risks are written. It has operations in Bermuda, the United States, Canada, Europe, Australia[1] and, in the case of mortgage insurance, Hong Kong.",2024-06-04,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,Hamilton,Bermuda,https://parat.eto.tech/company/6938-arch-capital-group
Character.ai,6905,United States,https://character.ai,GenAI Contenders,,North America,Unknown,Unknown,"Character.ai (also known as c.ai or Character AI) is an American neural language model chatbot service that can generate human-like text responses and participate in contextual conversation. Constructed by previous developers of Google's LaMDA, Noam Shazeer, and Daniel De Freitas, the beta model was made available to use by the public in September 2022.",wikipedia,https://en.wikipedia.org/wiki/Character.ai,2024-05-20,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,Menlo Park,california,https://parat.eto.tech/company/6905-character-ai
Deepglint,69,China,https://deepglint.com,,,Asia,Growth,Software & IT Services,Deep Glint is a computer vision startup providing 3D image analysis and pattern recognition technologies for mission-critical applications.,crunchbase,https://www.crunchbase.com/organization/deep-glint,2024-05-16,8,-38.88888888888889,88.9,7,414,8,0,0,9,30,400.0,30.0,8,100,0,0,0,0,0,0,0,0,2,0,0,0,0,12,0,0,0,1,3,0,7,0,0,0,0,0,0,0,0,7,25,Beijing,Beijing ,https://parat.eto.tech/company/69-deepglint
Wynn Resorts,2546,United States,https://www.wynnresorts.com/,S&P 500,,North America,Mature,Cyclical Consumer Services,"Wynn Resorts provides hotels, casinos, restaurants, and entertainment.",crunchbase,https://www.crunchbase.com/organization/wynn-resorts,2024-05-16,0,,0.0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,Las Vegas,Nevada,https://parat.eto.tech/company/2546-wynn-resorts
Vontier,3098,United States,https://www.vontier.com/,,,North America,Mature,Technology Equipment,Vontier is a global company focused on transportation and mobility.,crunchbase,https://www.crunchbase.com/organization/vontier,2024-05-16,0,,0,0,0,0,0,0,0,3,,20.0,1,15,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,3,24,Raleigh,North Carolina,https://parat.eto.tech/company/3098-vontier
Vornado Realty Trust,2531,United States,http://www.vno.com/,,,North America,Mature,Real Estate,"Vornado Realty L.P. engages in the ownership and operation of office, retail, and showroom properties in the United States.",crunchbase,https://www.crunchbase.com/organization/vornado-realty-trust,2024-05-16,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,New York,New York,https://parat.eto.tech/company/2531-vornado-realty-trust
Aibee,13,China,https://aibee.com/,,,Asia,Growth,Software & IT Services,"Aibee is an AI startup that develops speech recognition, big data analysis, and natural language processing technologies.",crunchbase,https://www.crunchbase.com/organization/alibee,2024-05-16,19,38.888888888888886,90.5,13,1001,17,0,2,21,42,1900.0,21.6,17,194,0,0,5,0,0,0,0,0,0,0,0,0,0,23,0,0,0,2,0,0,9,0,0,0,0,2,0,0,0,7,23,Beijing,Beijing ,https://parat.eto.tech/company/13-aibee
Kimco Realty,2385,United States,https://www.kimcorealty.com/,S&P 500,,North America,Mature,Real Estate,"Kimco Realty Corporation is a Jericho, New York-based real estate investment trust that invests in shopping centers.",wikipedia,https://en.wikipedia.org/wiki/Kimco_Realty,2024-05-24,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,Jericho,New York,https://parat.eto.tech/company/2385-kimco-realty
Perplexity AI,6922,United States,https://www.perplexity.ai/,GenAI Contenders,,North America,Unknown,Unknown,"Perplexity AI is an AI-chatbot-powered research and conversational search engine that answers queries using natural language predictive text. Launched in 2022, Perplexity generates answers using the sources from the web and cites links within the text response. Perplexity works on a freemium model; the free product uses its Perplexity model based on OpenAI's GPT-3.5 model combined with the company's standalone large language model (LLM) that incorporates natural language processing (NLP) capabilities, while the paid version Perplexity Pro has access to GPT-4, Claude 3, Mistral Large, Llama 3 and an Experimental Perplexity Model. It has garnered about 10 million monthly users.",wikipedia,https://en.wikipedia.org/wiki/Perplexity.ai,2024-05-20,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22,San Francisco,California,https://parat.eto.tech/company/6922-perplexity-ai
SL Green Realty,2491,United States,http://slgreen.com/,,,North America,Mature,Real Estate,"SL Green Realty Corp., New York City's largest office landlord, is a fully integrated real estate investment trust",crunchbase,https://www.crunchbase.com/organization/sl-green-realty-corp,2024-05-16,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,New York,New York,https://parat.eto.tech/company/2491-sl-green-realty
Aleph Alpha,6909,Germany,https://aleph-alpha.com/,GenAI Contenders,,Europe,Unknown,Unknown,"Aleph Alpha is an independent German artificial intelligence (AI) startup company in Heidelberg, founded by professionals with experience as employees of Apple, SAP and Deloitte. Aleph Alpha attempts to provide a full-stack sovereign technology stack for generative AI, independent from US companies and comply with European data protection regulations and the AI Act. It built one of the most powerful AI clusters inside its own data centre and develops large language models (LLM), which try to provide transparency of its sources used for the results generated and are intended for enterprises and governmental agencies only. Training of its model has been done in five European languages.",company,https://en.wikipedia.org/wiki/Aleph_Alpha,2024-05-20,0,,0.0,0,0,0,0,0,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,Heidelberg,Baden-Wurttemberg,https://parat.eto.tech/company/6909-aleph-alpha
Inflection AI,6904,United States,https://inflection.ai/,GenAI Contenders,,North America,Unknown,Unknown,"Inflection AI, Inc. is a technology company which has developed a machine learning and generative artificial intelligence hardware and apps, founded in 2022. The company is structured as a public benefit corporation and is headquartered in Palo Alto, California.",wikipedia,https://en.wikipedia.org/wiki/Inflection_AI,2024-05-20,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,Palo Alto,California,https://parat.eto.tech/company/6904-inflection-ai
Realty Income Corporation,2473,United States,https://www.realtyincome.com/,S&P 500,,North America,Mature,Real Estate,Realty Income is a company providing shareholders with monthly income.,crunchbase,https://www.crunchbase.com/organization/realty-income-corporation,2024-05-16,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,San Diego,California,https://parat.eto.tech/company/2473-realty-income-corporation
Apartment Investment & Management,2219,United States,http://www.aimco.com/,,,North America,Mature,Real Estate,Aimco or Apartment Investment Management Company is one of the largest owners and operators of apartment communities in the United States.,crunchbase,https://www.crunchbase.com/organization/aimco,2024-05-16,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,Denver,Colorado,https://parat.eto.tech/company/2219-apartment-investment-management
